anio,subregion_es,valor
2011,Asia del Sur,0.11895627337251458
2011,Australia y Nueva Zelanda,0.09722646701169065
2011,Este de Asia,0.16516271742679628
2011,Europa Occidental,0.1656329696944652
2011,Europa del Este,0.1972909923481469
2011,Europa del Norte,0.1544730427572712
2011,Europa del Sur,0.13585354647850953
2011,Melanesia,0.08898768099502355
2011,Micronesia,0.06336599516882221
2011,Polinesia,0.04890611272248374
2011,Sudeste Asiático,0.1890291745830103
2011,África Subsahariana,0.10761906295727697
2011,África del Norte,0.11037452316013865
2011,NA,0.1042961804325625
2012,América Latina y el Caribe,0.11215552346072612
2012,América del Norte,0.07147941172080839
2012,Asia Central,0.20279178531797742
2012,Asia Occidental,0.10029494947033044
2012,Asia del Sur,0.12367251633859533
2012,Australia y Nueva Zelanda,0.0930708584531143
2012,Este de Asia,0.16443343986797251
2012,Europa Occidental,0.1627489329540002
2012,Europa del Este,0.1921691301046983
2012,Europa del Norte,0.14830660497227857
2012,Europa del Sur,0.1326634635210625
2012,Melanesia,0.0801916777137765
2012,Micronesia,0.08911080390795877
2012,Polinesia,0.048485234488955795
2012,Sudeste Asiático,0.187639523435446
2012,África Subsahariana,0.10695385413566828
2012,África del Norte,0.1060721666712374
2012,NA,0.10495223916768956
2013,América Latina y el Caribe,0.10945152325302401
2013,América del Norte,0.06964174147989742
2013,Asia Central,0.20676816659512498
2013,Asia Occidental,0.0984303671769695
2013,Asia del Sur,0.11852640778533306
2013,Australia y Nueva Zelanda,0.08980997495112705
2013,Este de Asia,0.16481791789433678
2013,Europa Occidental,0.16246682418972724
2013,Europa del Este,0.1836313322570128
2013,Europa del Norte,0.14578268546328074
2013,Europa del Sur,0.13280391225723792
2013,Melanesia,0.076988281850906
2013,Micronesia,0.07207934735062292
2013,Polinesia,0.04782336367604146
2013,Sudeste Asiático,0.18468709616152731
2013,África Subsahariana,0.10635567000978492
2013,África del Norte,0.1054687242935494
2013,NA,0.116970669607044
2014,América Latina y el Caribe,0.10924026065404882
2014,América del Norte,0.06696581020054906
2014,Asia Central,0.19731954341215752
2014,Asia Occidental,0.09739950648643945
2014,Asia del Sur,0.1171140339901715
2014,Australia y Nueva Zelanda,0.0940657049414385
2014,Este de Asia,0.16252103319033473
2014,Europa Occidental,0.16086835982338107
2014,Europa del Este,0.1904147452827023
2014,Europa del Norte,0.1451733858696442
2014,Europa del Sur,0.13218418667190165
2014,Melanesia,0.08293206256248274
2014,Micronesia,0.04988773918897829
2014,Polinesia,0.0464597831977625
2014,Sudeste Asiático,0.18489373520887356
2014,África Subsahariana,0.10574043992265912
2014,África del Norte,0.10697550053373028
2014,NA,0.1153362077152571
2015,América Latina y el Caribe,0.10968530580243703
2015,América del Norte,0.06779911397610625
2015,Asia Central,0.18965143615881158
2015,Asia Occidental,0.1010824196066419
2015,Asia del Sur,0.11274166641427187
2015,Australia y Nueva Zelanda,0.094279130650969
2015,Este de Asia,0.15677148886213638
2015,Europa Occidental,0.16114319702097718
2015,Europa del Este,0.1929969465596508
2015,Europa del Norte,0.16199811730714844
2015,Europa del Sur,0.13561185003854198
2015,Melanesia,0.07231715551614082
2015,Micronesia,0.06529343904592509
2015,Polinesia,0.04645638736016482
2015,Sudeste Asiático,0.18447152957923085
2015,África Subsahariana,0.10779688911390446
2015,África del Norte,0.10524060268084821
2015,NA,0.11091672852051564
2016,América Latina y el Caribe,0.10958015756947685
2016,América del Norte,0.06774751737886076
2016,Asia Central,0.1959798843092988
2016,Asia Occidental,0.10136737756703085
2016,Asia del Sur,0.11136614238728874
2016,Australia y Nueva Zelanda,0.0863083466138258
2016,Este de Asia,0.15446735965093553
2016,Europa Occidental,0.16182791498772048
2016,Europa del Este,0.1912278581489785
2016,Europa del Norte,0.15712995348997924
2016,Europa del Sur,0.1370330757620303
2016,Melanesia,0.07383740435380029
2016,Micronesia,0.061434951898897854
2016,Polinesia,0.04684218923379032
2016,Sudeste Asiático,0.1817974392411111
2016,África Subsahariana,0.1088623166931886
2016,África del Norte,0.10652135934449175
